dataset,feature,test_shapley_mse_reduction,test_empty_mse,test_full_mse,n_test_items,n_test_systems,validation_discovered,test_confirmation_rule,protocol,test_confirmation_shapley_mse_reduction,test_ci95_low,test_ci95_high,test_ci_bootstrap_unit,test_ci_bootstrap_n,positive_in_test_point_estimate,positive_in_test_ci
brspeech,beats,0.0488491716875864,1.388515201914619,0.7043381049255221,243,6,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.0488491716875864,-0.01114999146459436,0.1084978056935848,system_id,10000,True,False
brspeech,auditory_erb,0.05137882810180045,1.388515201914619,0.7043381049255221,243,6,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.0513788281018005,0.014328546198873424,0.09052129577108098,system_id,10000,True,True
brspeech,speaker,0.12016599233337558,1.388515201914619,0.7043381049255221,243,6,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.12016599233337556,0.08262009730649653,0.17547134361499891,system_id,10000,True,True
brspeech,rmvpe_quant,-0.003349914270448743,1.388515201914619,0.7043381049255221,243,6,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,-0.0033499142704487236,-0.019365588065902776,0.022651257272329802,system_id,10000,False,False
brspeech,ced,0.12429630114635945,1.388515201914619,0.7043381049255221,243,6,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.12429630114635946,0.06454934406934595,0.1839422959290917,system_id,10000,True,True
bvcc,auditory_erb,0.023155748587374958,0.8474180478244165,0.20988326693769585,1066,187,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.023155748587374965,0.011723225950606873,0.03743769952485332,system_id,10000,True,True
bvcc,rmvpe_cont,0.006788966895461591,0.8474180478244165,0.20988326693769585,1066,187,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.006788966895461603,0.0009908933009659614,0.013012094350951783,system_id,10000,True,True
bvcc,rmvpe_quant,0.0033863461246304884,0.8474180478244165,0.20988326693769585,1066,187,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.0033863461246304927,-0.0018778134773612687,0.009196958239134976,system_id,10000,True,False
bvcc,egemaps,0.04999433340787642,0.8474180478244165,0.20988326693769585,1066,187,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.049994333407876484,0.03308780005269188,0.06835222470818986,system_id,10000,True,True
singmos,auditory_erb,0.01805689061473491,0.5768503811882322,0.33647653173074493,645,35,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.018056890614734946,0.006174487936463411,0.028773492213299393,system_id,10000,True,True
singmos,rmvpe_cont,0.011110005531432092,0.5768503811882322,0.33647653173074493,645,35,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.011110005531432088,0.004759177685141317,0.017726364989320086,system_id,10000,True,True
singmos,rmvpe_quant,0.0027011972363721543,0.5768503811882322,0.33647653173074493,645,35,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.002701197236372142,-0.011502118688218712,0.014042052435485963,system_id,10000,True,False
tmhintqi,auditory_erb,0.02215727982679565,0.9943866911772506,0.3341072862528421,1978,97,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.022157279826795648,0.008747771953280182,0.03807132045563451,system_id,10000,True,True
tmhintqi,rmvpe_cont,0.002343323104037671,0.9943866911772506,0.3341072862528421,1978,97,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.0023433231040376787,0.0007847789827168272,0.004012042559507422,system_id,10000,True,True
tmhintqi,rmvpe_quant,0.003210621525143083,0.9943866911772506,0.3341072862528421,1978,97,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.003210621525143076,-0.002771207840021697,0.009259831269094968,system_id,10000,True,False
tmhintqi,egemaps,0.06949048836594005,0.9943866911772506,0.3341072862528421,1978,97,True,validation_discovered list frozen before test evaluation,common_alpha_10_final_fixed_oof_gates_validation_discovery_test_confirmation,0.06949048836593999,0.02566014371727924,0.13207631351753066,system_id,10000,True,True
